request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_209,3034.53,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the ZAR 18400 minimum protected by the deadline.
request_210,954.88,affordable_with_plan,installments,2026-04-06:471.48|2026-05-04:471.48|2026-06-01:471.48,2026-04-13,none,Use the supplied installment schedule; it keeps the USD 2000 minimum protected.
request_211,542.84,affordable_later,wait,2024-09-15:1788.6,2024-09-15,none,"Wait until 2024-09-15, when the full EUR 1788.6 is forecast safe."
request_212,7756515.92,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the IDR 29579800 minimum protected by the deadline.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,stop:event_19548,Use the supplied installment schedule; it keeps the USD 2100 minimum protected.
request_214,69750,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-04,stop:event_19670,Use the supplied installment schedule; it keeps the INR 174900 minimum protected.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,stop:event_19801,Use the supplied installment schedule; it keeps the ZAR 15700 minimum protected.
request_216,710.77,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the USD 1800 minimum protected by the deadline.
request_217,21697.19,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,Use the supplied installment schedule; it keeps the ZAR 26800 minimum protected.
request_218,30115035.22,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-14,none,Use the supplied installment schedule; it keeps the IDR 34477200 minimum protected.
request_219,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the EUR 1100 minimum protected by the deadline.
request_220,209.84,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the EUR 1100 minimum protected by the deadline.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,stop:event_20336,Pay INR 109800 today while keeping the INR 81500 minimum protected.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,stop:event_20414,Pay ZAR 34078 today while keeping the ZAR 27300 minimum protected.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,stop:event_20478,Pay EUR 898.7 today while keeping the EUR 800 minimum protected.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,stop:event_20546,Use the supplied installment schedule; it keeps the IDR 22187600 minimum protected.
request_225,12053608,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-07-16,none,Use the supplied installment schedule; it keeps the IDR 17670700 minimum protected.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,reduce_to:event_20752:3700,Pay INR 157000 today while keeping the INR 209400 minimum protected.
request_227,12861.34,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 62900 minimum protected by the deadline.
request_228,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the IDR 26191200 minimum protected by the deadline.
request_229,550.76,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-03-17,none,Use the supplied installment schedule; it keeps the EUR 1000 minimum protected.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,stop:event_21145,Pay EUR 3537.6 today while keeping the EUR 2000 minimum protected.
request_231,35706,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,stop:event_21223,Use the supplied installment schedule; it keeps the ZAR 24300 minimum protected.
request_232,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the EUR 2400 minimum protected by the deadline.
request_233,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the IDR 10365700 minimum protected by the deadline.
request_234,277.33,affordable_later,wait,2026-07-16:1213.3,2026-07-16,none,"Wait until 2026-07-16, when the full EUR 1213.3 is forecast safe."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,stop:event_21619,Pay USD 967.2 today while keeping the USD 700 minimum protected.
request_236,7443718.01,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the IDR 16768600 minimum protected by the deadline.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,reduce_to:event_21812:382850,Pay IDR 23826000 today while keeping the IDR 22431500 minimum protected.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,stop:event_21887,Use the supplied installment schedule; it keeps the USD 700 minimum protected.
request_239,98.84,affordable_later,wait,2025-05-15:642,2025-05-15,none,"Wait until 2025-05-15, when the full USD 642 is forecast safe."
request_240,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 52800 minimum protected by the deadline.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,stop:event_22154,Use the supplied installment schedule; it keeps the IDR 19252000 minimum protected.
request_242,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the EUR 600 minimum protected by the deadline.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,stop:event_22314,Pay ZAR 17468 today while keeping the ZAR 19900 minimum protected.
request_244,45790.26,affordable_later,wait,2024-06-07:49918,2024-06-07,none,"Wait until 2024-06-07, when the full ZAR 49918 is forecast safe."
request_245,41863.61,affordable_later,wait,2025-11-15:128500,2025-11-15,none,"Wait until 2025-11-15, when the full INR 128500 is forecast safe."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,reduce_to:event_22613:609.4,Use the supplied installment schedule; it keeps the ZAR 39300 minimum protected.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,stop:event_22683,Pay EUR 1059.3 today while keeping the EUR 1300 minimum protected.
request_248,1026.8,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the USD 1300 minimum protected by the deadline.
request_249,214.02,affordable_later,wait,2026-03-15:643.2,2026-03-15,none,"Wait until 2026-03-15, when the full USD 643.2 is forecast safe."
request_250,17762.28,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the ZAR 35300 minimum protected by the deadline.
request_251,1470.91,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the EUR 1300 minimum protected by the deadline.
request_252,5719759.63,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the IDR 15152200 minimum protected by the deadline.
request_253,1636.96,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-03-17,none,Use the supplied installment schedule; it keeps the EUR 2300 minimum protected.
request_254,1068.45,affordable_later,wait,2025-10-13:3535.2,2025-10-13,none,"Wait until 2025-10-13, when the full USD 3535.2 is forecast safe."
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today while keeping the IDR 9813900 minimum protected.
request_256,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 168600 minimum protected by the deadline.
request_257,644.06,affordable_later,wait,2025-11-15:1352.4,2025-11-15,none,"Wait until 2025-11-15, when the full USD 1352.4 is forecast safe."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,stop:event_23715,Pay USD 1113.6 today while keeping the USD 500 minimum protected.
request_259,248.96,affordable_later,wait,2024-09-15:935,2024-09-15,none,"Wait until 2024-09-15, when the full EUR 935 is forecast safe."
request_260,9796636.24,affordable_with_plan,partial_payment,2025-02-06:9796636.24|2025-02-15:42282363.76,2025-02-15,none,Pay IDR 9796636.24 today and the balance later while keeping the minimum protected.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,stop:event_24010,Pay EUR 1830.4 today while keeping the EUR 1500 minimum protected.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,reduce_to:event_24094:541500,Pay IDR 9236000 today while keeping the IDR 31018500 minimum protected.
request_263,9323.96,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the ZAR 24100 minimum protected by the deadline.
request_264,26863.74,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 59500 minimum protected by the deadline.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,stop:event_24383,Pay INR 45970 today while keeping the INR 189700 minimum protected.
request_266,935,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,Use the supplied installment schedule; it keeps the EUR 900 minimum protected.
request_267,1858.55,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-08,none,Use the supplied installment schedule; it keeps the EUR 1500 minimum protected.
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-06-14,none,Use the supplied installment schedule; it keeps the EUR 1400 minimum protected.
request_269,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the ZAR 23100 minimum protected by the deadline.
request_270,255.68,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the USD 1400 minimum protected by the deadline.
request_271,29719.9,affordable_later,wait,2024-09-15:91300,2024-09-15,none,"Wait until 2024-09-15, when the full INR 91300 is forecast safe."
request_272,6128654.63,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-15,none,Use the supplied installment schedule; it keeps the IDR 7508600 minimum protected.
request_273,10756514.78,affordable_with_plan,partial_payment,2026-04-07:10756514.78|2026-04-14:5104485.22,2026-04-14,none,Pay IDR 10756514.78 today and the balance later while keeping the minimum protected.
request_274,2616.62,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-09,stop:event_25180|reduce_to:event_25181:51.6,Use the supplied installment schedule; it keeps the EUR 1800 minimum protected.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,stop:event_25300,Pay IDR 15884000 today while keeping the IDR 12760100 minimum protected.
